"","Name","Description","Rating","Ranking"
"1","Shingeki no Kyojin","
        TV (25 eps)
        Apr 2013 - Sep 2013
        3,578,134 members
      ","8.53","1"
"2","Death Note","
        TV (37 eps)
        Oct 2006 - Jun 2007
        3,557,796 members
      ","8.62","2"
"3","Fullmetal Alchemist: Brotherhood","
        TV (64 eps)
        Apr 2009 - Jul 2010
        3,031,893 members
      ","9.11","3"
"4","One Punch Man","
        TV (12 eps)
        Oct 2015 - Dec 2015
        2,924,702 members
      ","8.51","4"
"5","Sword Art Online","
        TV (25 eps)
        Jul 2012 - Dec 2012
        2,847,776 members
      ","7.20","5"
"6","Boku no Hero Academia","
        TV (13 eps)
        Apr 2016 - Jun 2016
        2,752,377 members
      ","7.91","6"
"7","Kimetsu no Yaiba","
        TV (26 eps)
        Apr 2019 - Sep 2019
        2,614,836 members
      ","8.53","7"
"8","Naruto","
        TV (220 eps)
        Oct 2002 - Feb 2007
        2,598,560 members
      ","7.98","8"
"9","Tokyo Ghoul","
        TV (12 eps)
        Jul 2014 - Sep 2014
        2,592,418 members
      ","7.79","9"
"10","Hunter x Hunter (2011)","
        TV (148 eps)
        Oct 2011 - Sep 2014
        2,514,590 members
      ","9.04","10"
"11","Kimi no Na wa.","
        Movie (1 eps)
        Aug 2016 - Aug 2016
        2,470,866 members
      ","8.85","11"
"12","Shingeki no Kyojin Season 2","
        TV (12 eps)
        Apr 2017 - Jun 2017
        2,437,101 members
      ","8.50","12"
"13","Steins;Gate","
        TV (24 eps)
        Apr 2011 - Sep 2011
        2,334,705 members
      ","9.08","13"
"14","Boku no Hero Academia 2nd Season","
        TV (25 eps)
        Apr 2017 - Sep 2017
        2,304,519 members
      ","8.13","14"
"15","Naruto: Shippuuden","
        TV (500 eps)
        Feb 2007 - Mar 2017
        2,229,772 members
      ","8.25","15"
"16","No Game No Life","
        TV (12 eps)
        Apr 2014 - Jun 2014
        2,226,618 members
      ","8.09","16"
"17","Shingeki no Kyojin Season 3","
        TV (12 eps)
        Jul 2018 - Oct 2018
        2,082,301 members
      ","8.62","17"
"18","Koe no Katachi","
        Movie (1 eps)
        Sep 2016 - Sep 2016
        2,075,447 members
      ","8.94","18"
"19","Code Geass: Hangyaku no Lelouch","
        TV (25 eps)
        Oct 2006 - Jul 2007
        2,069,236 members
      ","8.70","19"
"20","Jujutsu Kaisen","
        TV (24 eps)
        Oct 2020 - Mar 2021
        2,052,875 members
      ","8.66","20"
